XM_012316519.2	LOC100649911
XM_012321271.2	LOC100642949
XM_003392977.3	LOC100642949
XM_003392978.3	LOC100643068
XM_003392980.3	LOC100643311
XM_012321249.2	LOC100643187
XM_003392983.3	LOC100643679
XM_012321331.2	LOC100643557
XM_003392982.3	LOC100643557
XM_012321342.2	LOC100643557
XM_020867710.1	LOC100643557
XM_012307684.2	LOC100643434
XM_012307681.2	LOC100643434
XM_020868214.1	LOC100643874
XR_002308984.1	LOC105665846
XM_003392984.3	LOC100643874
XM_020868348.1	LOC100643874
XM_020868326.1	LOC100643874
XM_020868376.1	LOC100643999
XM_012321369.2	LOC105667209
XM_003392985.3	LOC100644115
XM_003392986.3	LOC100644237
XM_020868575.1	LOC100644387
XM_012307715.2	LOC100644629
XM_003392988.3	LOC100644629
XM_003392987.3	LOC100644508
XM_012307749.2	LOC100644747
XM_020862651.1	LOC100644992
XM_012307739.2	LOC100644992
XM_003392990.3	LOC100644872
XM_012307735.2	LOC100644872
XM_003392992.3	LOC100645111
XM_012307900.2	LOC100645231
XM_012307904.2	LOC100645231
XM_012307898.2	LOC100645231
XM_012307922.2	LOC100645231
XM_020863104.1	LOC100645231
XM_012307893.2	LOC100645231
XM_020863132.1	LOC100645231
XM_020862929.1	LOC100645231
XM_020862897.1	LOC100645231
XM_020862916.1	LOC100645231
XM_020862850.1	LOC100645231
XM_020862876.1	LOC100645231
XM_020862950.1	LOC100645231
XM_020862749.1	LOC100645231
XM_012307927.2	LOC100645231
XM_012307813.2	LOC100645231
XM_012307824.2	LOC100645231
XM_012307819.2	LOC100645231
XM_012307798.2	LOC100645231
XM_012307804.2	LOC100645231
XR_002307758.1	LOC110119345
XM_020863024.1	LOC100645231
XM_020863046.1	LOC100645231
XM_020862969.1	LOC100645231
XM_020862999.1	LOC100645231
XM_012307772.2	LOC100645359
XM_003392996.2	LOC100645477
XM_003392997.3	LOC100645477
XM_012307791.2	LOC100645477
XM_003392994.3	LOC100645359
XM_003392999.3	LOC100645933
XM_012307941.2	LOC100645818
XM_012307948.2	LOC100645818
XM_003393000.2	LOC100646133
XM_012307970.2	LOC100646250
XM_012307964.2	LOC100646250
XM_012307977.2	LOC100646250
XM_012307985.2	LOC100646250
XM_003393003.3	LOC100646454
XM_003393005.3	LOC100646695
XM_003393007.3	LOC100646891
XR_001098642.2	LOC100646574
XM_012308002.2	LOC100646574
XM_012308106.2	LOC100647009
XM_012308092.2	LOC100647131
XM_012308082.2	LOC100647131
XM_012308099.2	LOC100647131
XM_012308074.2	LOC100647131
XM_012308064.2	LOC100647131
XM_012308049.2	LOC105665677
XM_003393010.3	LOC100647249
XM_020862762.1	LOC100647249
XM_012308031.2	LOC100647685
XM_012308019.2	LOC100647685
XM_012308025.2	LOC100647685
XM_020862780.1	LOC100647366
XM_020862775.1	LOC100647366
XM_012308125.2	LOC100647366
XM_003393011.3	LOC100647366
XM_003393013.3	LOC100647488
XM_003393012.3	LOC100647488
XM_012308151.2	LOC100648891
XM_020862805.1	LOC100648194
XM_003393016.3	LOC100648194
XM_012308202.2	LOC100648080
XM_012308166.2	LOC100648080
XM_003393014.3	LOC100647953
XM_003393017.3	LOC100648309
XM_020862821.1	LOC100648422
XM_003393019.3	LOC100648541
XM_003393022.3	LOC100648890
XM_003393021.3	LOC100648776
XM_003393020.3	LOC100648662
XM_012308253.2	LOC100648662
XM_012308297.2	LOC100649013
XM_012308329.2	LOC100649013
XM_012308313.2	LOC100649013
XM_012308272.2	LOC100649013
XM_020862845.1	LOC100649013
XM_012308318.2	LOC100649013
XM_012308280.2	LOC100649013
XM_020862856.1	LOC100649013
XM_012308288.2	LOC100649013
XM_003393023.3	LOC100649012
XM_012308353.2	LOC100649012
XM_012308351.2	LOC100649012
XM_012308339.2	LOC100649012
XM_012308352.2	LOC100649012
XM_012308363.2	LOC100649245
XM_003393025.3	LOC100649199
XM_003393027.3	LOC100649435
XM_003393028.3	LOC100649560
XM_003393029.3	LOC100649680
XM_012308433.2	LOC100649318
XM_012308408.2	LOC100649318
XM_020865085.1	LOC100649318
XM_020863458.1	LOC100649794
XM_012308466.2	LOC100649794
XM_003393032.3	LOC100649794
XM_003393030.3	LOC100649794
XM_020863463.1	LOC100650141
XM_012308580.2	LOC100650141
XM_020863439.1	LOC100650267
XM_012308560.2	LOC100650267
XM_012308563.2	LOC100650267
XM_003393035.3	LOC100650267
XM_003393036.3	LOC100650267
XR_002307764.1	LOC100650267
XM_003393038.3	LOC100650589
XM_020863450.1	LOC100650470
XM_020863455.1	LOC100650470
XM_012308533.2	LOC100650470
XM_003393039.3	LOC100650712
XM_003393041.3	LOC100650913
XM_003393042.3	LOC100651028
XM_020864195.1	LOC100651149
XM_020864189.1	LOC100651272
XM_003393045.3	LOC100651272
XM_003393044.3	LOC100651272
XM_020864192.1	LOC100651475
XM_003393049.3	LOC100651945
XM_012308652.2	LOC100651592
XM_012308659.2	LOC100651592
XM_012308673.2	LOC100651592
XM_012308643.2	LOC100651710
XM_003393050.3	LOC100652068
XM_012308682.2	LOC100651828
XM_012308698.2	LOC100649365
XM_012308770.2	LOC100642479
XM_012308749.2	LOC100642479
XM_012308757.2	LOC100642479
XM_012308764.2	LOC100642479
XM_003393058.3	LOC100642792
XM_003393056.3	LOC100642596
XM_012308732.2	LOC100642596
XM_012308718.2	LOC100642912
XM_012308710.2	LOC100642912
XM_020864170.1	LOC100642912
XM_003393063.3	LOC100643107
XM_003393062.3	LOC100643107
XM_012308798.2	LOC100643107
XM_012308795.2	LOC100643107
XM_003393065.3	LOC100643515
XM_020862707.1	LOC110119148
XM_012308847.2	LOC100643395
XM_003393066.3	LOC100643639
XM_003393067.3	LOC100643875
XM_020868667.1	LOC100649610
XM_012308893.2	LOC100644116
XM_020862722.1	LOC105665767
XM_012308911.2	LOC100644000
XM_012308916.2	LOC100644000
XM_020862718.1	LOC100644000
XM_003393068.3	LOC100644000
XM_012308905.2	LOC100644000
XR_001098740.2	LOC100644000
XM_012308928.2	LOC100644238
XM_012308936.2	LOC100644591
XM_012308949.2	LOC100644591
XM_012308943.2	LOC100644591
XM_003393071.3	LOC100644473
XM_012308965.2	LOC100644473
XM_012308960.2	LOC100644473
XM_012308955.2	LOC100644473
XM_012308978.2	LOC100644355
XR_002307676.1	LOC110119257
XM_012308987.2	LOC100644792
XM_003393073.3	LOC100644792
XM_012308992.2	LOC100644792
XM_012309003.2	LOC100644792
XM_012309008.2	LOC100644792
XR_002308112.1	LOC110119626
XM_020865035.1	LOC100644915
XM_012309026.2	LOC100645039
XM_012309033.2	LOC100645039
XM_003393075.3	LOC100645039
XM_020865031.1	LOC100645156
XM_003393076.3	LOC100645278
XM_003393111.3	LOC100649835
XR_001098757.2	LOC105665780
XM_012309094.2	LOC100649952
XM_012309086.2	LOC100649952
XM_003393079.3	LOC100645617
XM_003393080.3	LOC100645617
XM_012309068.2	LOC100645617
XM_020868386.1	LOC105665794
XR_002308931.1	LOC105665794
XM_012309109.1	LOC105665794
XM_012309125.2	LOC100645400
XM_012309132.2	LOC105665806
XR_002307881.1	LOC105665809
XM_003393081.3	LOC100645819
XM_003393082.3	LOC100645934
XM_020868669.1	LOC100650066
XM_012309150.2	LOC100646051
XM_012309188.2	LOC100646167
XM_020868671.1	LOC100646281
XM_020863818.1	LOC100646401
XM_012309203.2	LOC100646528
XM_020866641.1	LOC100646528
XM_012309222.2	LOC100646648
XM_003393088.3	LOC100646648
XM_020866725.1	LOC110119909
XM_012309251.2	LOC100646768
XM_012309243.2	LOC100646768
XM_003393090.3	LOC100646768
XM_012309264.2	LOC100646768
XM_012309259.2	LOC100646768
XM_020865200.1	LOC100646972
XM_012309272.2	LOC100646972
XM_003393093.3	LOC100647209
XM_012309319.2	LOC100650310
XM_012309312.2	LOC100650310
XM_012309325.2	LOC100650310
XM_020865206.1	LOC105665823
XM_012309289.2	LOC100647089
XM_003393092.3	LOC100647089
XM_020865197.1	LOC100650428
XM_012309340.2	LOC100647406
XM_020868286.1	LOC100647528
XM_003393094.3	LOC100647528
XM_020868304.1	LOC100647528
XR_002308916.1	LOC100647528
XM_020868323.1	LOC100647528
XM_012309349.2	LOC100647833
XM_012309365.2	LOC100647715
XM_012309358.2	LOC100647833
XM_003393097.3	LOC100647833
XM_003393116.3	LOC100650550
XR_001098783.2	LOC100647603
XM_012309526.2	LOC100647716
XM_012309533.2	LOC100647716
XM_012309544.2	LOC100647716
XM_012309539.2	LOC100647716
XM_020862625.1	LOC100647716
XM_012309516.2	LOC100650992
XR_001098784.2	LOC100650992
XM_012309496.2	LOC100650992
XM_012309511.2	LOC100650992
XM_012309503.2	LOC100650992
XM_020863858.1	LOC100647834
XM_020863857.1	LOC100647834
XM_012309552.2	LOC100647834
XM_020863863.1	LOC100647834
XM_020863873.1	LOC100647834
XM_020863859.1	LOC100647834
XM_020863869.1	LOC100647834
XM_020863871.1	LOC100647834
XM_020863865.1	LOC100647834
XM_020863876.1	LOC100647834
XM_020863861.1	LOC100647834
XM_020863890.1	LOC100646769
XR_002307927.1	LOC100646769
XM_020863899.1	LOC100646769
XM_020863898.1	LOC100646769
XM_020863893.1	LOC100646769
XM_020863901.1	LOC100646769
XM_003393208.3	LOC100652150
XM_003393159.3	LOC100645788
XM_012309585.2	LOC100645788
XM_020863909.1	LOC110119437
XM_003393218.3	LOC100643149
XM_003393138.3	LOC100644429
XM_003393147.2	LOC100644429
XM_020863886.1	LOC100644429
XR_002307943.1	LOC110119444
XR_002307941.1	LOC110119444
XR_002307942.1	LOC110119444
XM_020863920.1	LOC110119444
XM_012309608.2	LOC100649561
XM_003393188.3	LOC100649561
XM_003393193.3	LOC100650067
XM_003393194.3	LOC100650188
XM_012309618.2	LOC100649561
XM_020863959.1	LOC100649681
XM_020863937.1	LOC100649681
XM_020863976.1	LOC100649681
XM_020863942.1	LOC100649681
XM_020863973.1	LOC100649681
XM_020863979.1	LOC100649681
XM_020863977.1	LOC100649681
XM_020863965.1	LOC100649681
XM_020863940.1	LOC100649681
XM_020863969.1	LOC100649681
XM_020863956.1	LOC100649681
XM_020863933.1	LOC100649681
XM_012309643.2	LOC100649681
XM_020863951.1	LOC100649681
XM_020863949.1	LOC100649681
XM_020863947.1	LOC100649681
XM_020863944.1	LOC100649681
XM_020864669.1	LOC100650311
XM_003393195.3	LOC100650311
XM_020864676.1	LOC100650311
XR_002308048.1	LOC110119577
XR_002308049.1	LOC110119577
XM_012309673.2	LOC100650429
XM_012309662.2	LOC100650673
XM_020864715.1	LOC100650673
XM_020864660.1	LOC100650551
XM_020864644.1	LOC100650551
XM_020864663.1	LOC100650551
XM_003393197.3	LOC100650551
XM_020864661.1	LOC100650551
XM_020864646.1	LOC100650551
XM_020864638.1	LOC100647955
XM_020864658.1	LOC100650551
XM_020864650.1	LOC100650551
XM_020864666.1	LOC100650551
XM_020864763.1	LOC100650799
XM_003393199.3	LOC100650799
XM_003393198.3	LOC100650799
XM_020864757.1	LOC100650799
XM_012309747.2	LOC100651114
XM_003393200.3	LOC100651114
XM_020864733.1	LOC100651114
XM_020864746.1	LOC100651114
XM_003393201.3	LOC100651236
XM_012309763.2	LOC100651236
XM_003393202.3	LOC100651357
XM_020864795.1	LOC100648082
XM_012309789.1	LOC100651630
XM_003393203.2	LOC100651630
XM_012309885.1	LOC100648082
XM_012309878.2	LOC100648082
XM_012309865.2	LOC100648082
XM_020864792.1	LOC100648082
XM_012309871.2	LOC100648082
XM_003393207.3	LOC100651865
XM_012309820.2	LOC100651865
XM_012309828.2	LOC100651865
XM_003393206.3	LOC100651865
XM_012309837.2	LOC100651865
XM_012309813.2	LOC100651865
XM_012309805.2	LOC100651745
XM_003393204.3	LOC100651745
XM_012309895.2	LOC100648196
XM_020864816.1	LOC100642192
XM_003393211.3	LOC100642315
XM_003393212.3	LOC100642435
XM_012309965.2	LOC100642553
XM_020865227.1	LOC100642553
XM_012309950.2	LOC100642553
XM_012309972.2	LOC100642553
XM_003393213.3	LOC100642553
XM_012309929.2	LOC100648311
XR_001098821.2	LOC100648311
XM_003393214.3	LOC100642675
XM_012309992.2	LOC100642675
XM_012310021.2	LOC100642794
XM_012310014.2	LOC100642794
XM_003393215.3	LOC100642794
XM_003393179.3	LOC100648424
XM_012310025.2	LOC100643029
XM_012310048.2	LOC100642914
XM_003393216.3	LOC100642914
XM_012310052.2	LOC100642914
XM_003393219.3	LOC100643272
XR_002308925.1	LOC110120288
XM_012310087.2	LOC100643396
XR_002308924.1	LOC110120287
XM_012310074.2	LOC100643640
XM_012310067.2	LOC100643640
XM_012310095.1	LOC105665906
XM_003393223.3	LOC100643753
XM_003393224.2	LOC100643876
XM_003393225.3	LOC100644001
XM_012310110.2	LOC100648664
XM_003393182.3	LOC100648849
XM_020865147.1	LOC100643230
XM_003393141.3	LOC100643473
XM_012310185.2	LOC100643600
XM_012310190.2	LOC100643600
XM_003393142.3	LOC100643720
XM_003393143.3	LOC100643839
XM_020864347.1	LOC100643962
XM_012310233.2	LOC100643962
XM_012310213.2	LOC100643962
XR_001098863.2	LOC100643962
XM_012310223.2	LOC100643962
XM_012310238.2	LOC100643962
XM_020864352.1	LOC100644085
XM_003393145.3	LOC100644201
XM_012310273.2	LOC100644201
XM_020868439.1	LOC100644319
XM_003393146.3	LOC100644319
XM_012310310.2	LOC100644547
XM_012310304.2	LOC100644547
XM_012310300.2	LOC100644547
XM_012310321.2	LOC100644547
XM_012310328.2	LOC100644547
XM_003393148.3	LOC100644547
XM_012310315.2	LOC100644547
XM_020863701.1	LOC100644547
XM_020863850.1	LOC100644547
XM_012310342.2	LOC100644670
XM_003393149.3	LOC100644670
XM_003393150.3	LOC100644670
XM_012310356.2	LOC100644670
XM_020864056.1	LOC100644873
XM_003393151.3	LOC100644873
XM_012310365.2	LOC100644873
XM_020864037.1	LOC100644873
XM_020864169.1	LOC100644993
XM_020864143.1	LOC100644993
XM_020864119.1	LOC100644993
XR_002307976.1	LOC100644993
XR_002307972.1	LOC100644993
XM_020864096.1	LOC100644993
XR_002307973.1	LOC100644993
XM_012310450.2	LOC100645112
XM_003393153.3	LOC100645112
XM_012310455.2	LOC100645232
XM_012310485.2	LOC100645360
XM_003393155.3	LOC100645360
XM_012310491.2	LOC100645360
XM_012310472.2	LOC100645360
XM_003393156.3	LOC100645360
XM_012310524.2	LOC105665938
XM_012310515.2	LOC105665935
XM_012310500.2	LOC100648965
XM_012310505.1	LOC100648965
XM_012310540.2	LOC100645551
XM_012310534.2	LOC100645551
XM_012310567.2	LOC100645667
XM_003393160.3	LOC100645902
XM_012310601.2	LOC100649079
XM_012310595.2	LOC100649079
XM_012310589.2	LOC100649079
XM_020863177.1	LOC100649079
XM_012310655.1	LOC100649079
XM_012310649.1	LOC100649079
